Number,Company,Symbol,Weight
1,Apple Inc.,AAPL,5.802638
2,Microsoft Corporation,MSFT,5.569382
3,Amazon.com Inc.,AMZN,4.099768
4,Facebook Inc. Class A,FB,2.279988
5,Alphabet Inc. Class A,GOOGL,2.043017
7,Tesla Inc,TSLA,1.452696
8,Berkshire Hathaway Inc. Class B,BRK.B,1.447807
9,NVIDIA Corporation,NVDA,1.327052
10,JPMorgan Chase & Co.,JPM,1.280101
11,Johnson & Johnson,JNJ,1.1929
12,Visa Inc. Class A,V,1.109097
13,UnitedHealth Group Incorporated,UNH,1.043696
14,PayPal Holdings Inc,PYPL,0.955057
15,Home Depot Inc.,HD,0.919351
16,Mastercard Incorporated Class A,MA,0.909476
17,Procter & Gamble Company,PG,0.902995
18,Walt Disney Company,DIS,0.896407
19,Bank of America Corp,BAC,0.853734
20,Adobe Inc.,ADBE,0.76722
